task_id,robot_id,zone_id,assigned_at,started_at,completed_at,task_type,priority,status,items_count,distance_m,time_taken_min,efficiency_score,reassignment_count,order_id,batch_id,aisle_number,rack_level,weight_total_kg,error_flag
65947236,404891,217505,2023-06-10 19:12:35,2023-06-10 19:18:35,2023-06-11 01:06:35,Replenish,3,Cancelled,362,29.83,348,0.629,0,58430496,6157123,30,1,25.6,0
21748489,417668,235321,2023-09-04 19:28:47,2023-09-04 20:08:47,2023-09-04 21:35:47,Cycle Count,3,Cancelled,58,35.98,87,0.304,2,89721979,6658437,34,1,3.11,0
85155415,405699,221982,2023-01-21 10:46:08,2023-01-21 11:13:08,2023-01-21 17:55:08,Transfer,3,Completed,109,267.99,402,0.471,0,74446833,2816471,37,7,46.57,1
49369638,490633,241320,2024-11-23 18:21:24,2024-11-23 20:11:24,2024-11-23 21:22:24,Consolidate,4,Completed,177,26.73,71,0.739,2,45525869,7926465,42,1,2.9,0
72000589,491598,242832,2025-04-12 11:42:01,2025-04-12 13:09:01,2025-04-12 20:52:01,Pickup,2,Failed,423,27.61,463,0.308,0,29268783,6863956,1,5,40.41,0
71652791,432796,215159,2026-01-28 11:07:15,2026-01-28 12:30:15,2026-01-28 18:38:15,Sort,3,Completed,146,51.24,368,0.324,2,13584652,3038755,18,1,9.79,0
57017504,403798,206925,2026-01-12 11:57:54,2026-01-12 12:21:54,2026-01-12 18:11:54,Cycle Count,4,Completed,248,112.94,350,0.52,0,70019049,3242895,3,5,24.22,0
13873461,425869,241320,2025-10-06 06:00:12,2025-10-06 07:33:12,2025-10-06 09:53:12,Sort,3,Failed,290,85.56,140,0.823,0,48551231,2422517,16,2,14.03,0
24633770,449202,216408,2023-02-17 10:56:06,2023-02-17 12:01:06,2023-02-17 16:51:06,Cycle Count,3,Cancelled,106,6.2,290,0.776,0,53367238,5548406,42,1,127.36,0
64036916,490633,216408,2025-09-02 14:27:48,2025-09-02 15:29:48,2025-09-02 22:32:48,Pickup,2,Completed,266,262.04,423,0.733,0,17929205,7510641,18,4,7.1,0
69138541,492908,205716,2024-03-31 06:01:30,2024-03-31 07:35:30,2024-03-31 11:36:30,Pickup,3,Cancelled,132,20.11,241,0.383,0,48302209,8757938,18,7,2.61,0
31788462,474653,209263,2023-04-19 15:53:57,2023-04-19 17:14:57,2023-04-19 22:26:57,Consolidate,3,Completed,162,91.54,312,0.384,0,76469885,3782875,17,2,26.68,0
67537103,448885,237363,2025-08-29 15:46:04,2025-08-29 16:35:04,2025-08-29 20:03:04,Dropoff,4,In Progress,167,64.42,208,0.903,0,54172880,7790729,4,6,2.24,0
64361087,477333,242832,2025-03-26 04:18:59,2025-03-26 06:00:59,2025-03-26 07:15:59,Cycle Count,1,Completed,251,223.41,75,0.981,0,27642425,6090268,47,6,2.26,0
13000360,402023,249237,2026-04-24 19:57:30,2026-04-24 21:01:30,2026-04-25 04:31:30,Pickup,4,In Progress,367,87.73,450,0.757,0,76079407,6056722,40,6,1.14,0
86074617,434763,212996,2024-06-25 20:10:41,2024-06-25 21:19:41,2024-06-26 04:54:41,Consolidate,2,Completed,460,60.27,455,0.931,0,38022297,1525473,43,7,8.49,0
44632219,469113,217119,2025-03-16 05:11:56,2025-03-16 05:31:56,2025-03-16 10:13:56,Sort,3,Failed,291,156.24,282,0.384,1,61417985,5194319,10,1,27.05,1
53425926,437920,206925,2024-11-04 20:46:25,2024-11-04 21:49:25,2024-11-05 05:06:25,Replenish,4,Completed,284,6.25,437,0.577,0,37257194,5568225,41,1,0.14,0
83801258,424502,232480,2024-03-02 03:25:01,2024-03-02 05:11:01,2024-03-02 10:35:01,Cycle Count,3,Cancelled,382,121.21,324,0.937,1,33084218,1884517,42,4,7.38,1
69610831,485327,210830,2024-01-09 14:43:51,2024-01-09 16:09:51,2024-01-09 22:33:51,Sort,3,In Progress,33,74.88,384,0.645,0,16045012,5995864,43,3,3.2,0
32527316,491598,205980,2025-05-03 19:24:12,2025-05-03 19:52:12,2025-05-04 00:42:12,Putaway,4,Failed,455,71.05,290,0.76,0,81882233,4498991,8,6,39.81,0
99091690,489133,235212,2025-03-17 23:24:14,2025-03-18 01:14:14,2025-03-18 06:30:14,Pickup,4,Completed,58,302.67,316,0.563,0,93517514,5378470,36,4,25.48,0
34225614,446378,214068,2026-02-22 23:07:40,2026-02-23 00:39:40,2026-02-23 07:32:40,Dropoff,2,Completed,24,110.4,413,0.983,0,63637569,8868991,30,7,25.15,0
74152031,478305,227751,2024-03-31 00:21:33,2024-03-31 02:10:33,2024-03-31 06:37:33,Pickup,2,Cancelled,272,159.45,267,0.318,0,80170298,7272501,10,7,14.3,0
34120385,475581,220452,2025-04-18 23:30:22,2025-04-19 00:55:22,2025-04-19 05:00:22,Pickup,3,Completed,260,39.38,245,0.969,0,69296856,4122153,37,7,20.51,0
80095392,464636,83232,2024-06-01 22:11:29,2024-06-01 22:37:29,2024-06-01 23:46:29,Dropoff,3,Completed,313,47.59,69,0.484,1,21302516,5248168,45,2,13.49,1
47349912,447801,205969,2023-11-04 07:50:16,2023-11-04 09:10:16,2023-11-04 16:49:16,Sort,4,Completed,290,1.72,459,0.857,0,73928653,7240136,22,2,45.88,1
94430040,459528,220452,2026-01-18 07:42:06,2026-01-18 09:32:06,2026-01-18 12:07:06,Pickup,3,Partial,461,46.04,155,0.7,1,52937658,2456393,36,6,10.57,0
82809568,443800,214068,2025-07-14 19:45:04,2025-07-14 19:53:04,2025-07-14 21:05:04,Dropoff,3,Cancelled,178,52.54,72,0.674,0,21588795,4111673,7,7,41.76,0
18651970,497132,212996,2025-01-06 17:21:33,2025-01-06 17:23:33,2025-01-06 20:59:33,Pickup,3,Completed,233,76.26,216,0.449,0,94722907,5464539,28,1,22.98,0
31934384,489445,222099,2025-09-21 01:16:55,2025-09-21 02:58:55,2025-09-21 05:31:55,Dropoff,3,Cancelled,478,61.79,153,0.314,0,37342643,2825226,1,1,1.56,0
62028439,481169,241320,2023-06-25 17:11:36,2023-06-25 18:14:36,2023-06-26 01:12:36,Dropoff,4,Cancelled,113,109.84,418,0.877,0,96523738,2871056,14,2,10.82,0
16384708,429290,205980,2023-06-04 05:07:58,2023-06-04 05:36:58,2023-06-04 06:24:58,Replenish,3,Cancelled,161,80.48,48,0.402,0,21518052,1979511,41,6,31.77,0
42544625,489445,225896,2025-08-01 07:28:36,2025-08-01 07:42:36,2025-08-01 12:25:36,Pickup,3,Completed,53,10.28,283,0.779,1,93092589,2857259,43,4,9.79,0
44638687,417668,240291,2025-11-29 07:16:11,2025-11-29 07:19:11,2025-11-29 12:10:11,Dropoff,1,Completed,27,37.48,291,0.92,0,74029471,8617785,38,1,28.29,0
18511729,436371,206937,2024-05-01 18:01:47,2024-05-01 19:21:47,2024-05-01 22:28:47,Transfer,5,Failed,459,45.93,187,0.358,0,37265487,7939588,40,3,103.36,0
63966656,493771,241320,2023-09-07 17:49:12,2023-09-07 19:13:12,2023-09-07 20:02:12,Pickup,5,Completed,369,125.8,49,0.381,0,18508232,1509470,13,7,10.79,0
12411090,432796,245938,2025-12-11 09:37:02,2025-12-11 10:52:02,2025-12-11 16:04:02,Sort,3,Completed,19,9.62,312,0.601,0,33030771,3368536,3,7,2.24,0
23203806,407078,209294,2026-01-18 07:17:23,2026-01-18 08:41:23,2026-01-18 15:11:23,Pickup,3,Completed,68,100.53,390,0.395,1,85064226,4292866,29,5,14.11,0
87484401,446378,203407,2025-05-11 18:01:25,2025-05-11 18:55:25,2025-05-11 23:33:25,Pickup,3,Completed,348,54.57,278,0.854,0,33379188,9443236,49,6,4.96,0
33986067,453225,241320,2023-02-25 18:06:07,2023-02-25 19:10:07,2023-02-26 01:17:07,Cycle Count,4,Completed,429,45.83,367,0.444,0,92100516,7026211,19,3,16.87,0
42942326,472285,206536,2026-04-26 03:10:11,2026-04-26 03:27:11,2026-04-26 06:45:11,Transfer,1,Completed,281,17.48,198,0.46,0,65500737,9450149,43,4,1.12,0
75690818,467263,217119,2023-02-21 21:50:45,2023-02-21 23:07:45,2023-02-22 02:17:45,Sort,4,Partial,388,48.07,190,0.706,0,68333113,9695650,39,4,17.05,0
58507461,492908,217119,2023-09-23 21:11:52,2023-09-23 22:10:52,2023-09-24 05:57:52,Dropoff,4,Completed,468,12.99,467,0.659,0,76883484,3445773,27,3,51.32,0
26271572,42778,238978,2025-09-16 00:37:06,2025-09-16 01:46:06,2025-09-16 04:07:06,Transfer,4,Failed,354,46.01,141,0.723,0,61696504,8225528,21,3,35.98,0
61083862,489925,209263,2023-12-01 21:30:13,2023-12-01 22:36:13,2023-12-01 23:05:13,Consolidate,3,Completed,79,148.52,29,0.565,0,33703188,7258908,13,2,63.86,0
29249809,464636,232480,2025-11-18 23:13:51,2025-11-19 00:53:51,2025-11-19 04:43:51,Pickup,2,Completed,224,220.1,230,0.383,0,57223639,8802701,28,4,4.31,0
69534813,493013,210830,2024-12-24 07:37:18,2024-12-24 08:58:18,2024-12-24 15:26:18,Sort,3,Completed,357,8.53,388,0.751,0,50186653,7889224,32,1,5.6,0
87192180,475581,232907,2025-10-28 21:58:30,2025-10-28 22:22:30,2025-10-29 04:05:30,Dropoff,3,Completed,158,8.73,343,0.313,1,67292917,9946537,5,1,7.71,0
60410319,424940,242832,2024-07-31 11:16:25,2024-07-31 12:17:25,2024-07-31 18:28:25,Replenish,4,Completed,54,193.61,371,0.851,1,50544587,5427959,3,2,56.91,0
82130901,490269,235198,2024-12-08 11:38:51,2024-12-08 12:20:51,2024-12-08 19:41:51,Replenish,1,Failed,36,57.86,441,0.883,0,29250747,4529700,32,3,134.28,0
76351140,405424,207246,2024-07-22 18:34:55,2024-07-22 19:47:55,2024-07-22 20:48:55,Sort,4,Completed,6,22.73,61,0.339,1,56087633,7532080,41,6,28.68,0
82994708,449202,247949,2025-12-10 11:21:22,2025-12-10 13:15:22,2025-12-10 19:45:22,Dropoff,3,Completed,441,106.38,390,0.965,0,53017054,1484145,44,1,40.03,0
52513994,409522,222099,2023-08-02 21:19:55,2023-08-02 22:21:55,2023-08-03 00:11:55,Sort,3,Completed,161,319.48,110,0.908,0,88612995,3765847,32,6,8.72,0
48293051,439871,242832,2026-02-07 05:03:00,2026-02-07 06:59:00,2026-02-07 13:26:00,Cycle Count,2,Completed,346,15.67,387,0.502,0,74173278,9616889,49,6,65.89,0
40258233,464636,237363,2026-03-19 01:02:34,2026-03-19 01:45:34,2026-03-19 07:40:34,Sort,5,Completed,255,199.38,355,0.828,1,89769561,5886711,35,7,19.66,0
60734792,424940,205969,2023-09-23 09:55:29,2023-09-23 11:28:29,2023-09-23 13:54:29,Dropoff,2,Partial,482,107.86,146,0.354,3,92364821,8740995,22,7,4.54,0
92457573,477333,235659,2025-02-21 16:04:39,2025-02-21 17:03:39,2025-02-21 23:03:39,Pickup,4,Completed,123,59.17,360,0.614,2,29653262,8967887,38,1,70.37,0
80025172,448716,208059,2025-01-31 01:37:57,2025-01-31 03:22:57,2025-01-31 10:10:57,Pickup,5,Completed,199,26.77,408,0.401,0,41394024,5411493,27,3,39.13,1
42586117,492908,241320,2023-10-01 22:31:22,2023-10-01 23:42:22,2023-10-02 00:11:22,Replenish,5,Completed,222,160.41,29,0.536,2,48496374,4704711,17,4,19.12,0
30047575,497132,242742,2025-03-03 05:49:01,2025-03-03 07:06:01,2025-03-03 09:35:01,Sort,2,Completed,308,45.44,149,0.313,0,63811389,6712095,37,2,11.7,0
46551370,461837,207246,2024-06-25 19:59:31,2024-06-25 20:08:31,2024-06-25 23:04:31,Cycle Count,2,Failed,55,101.83,176,0.947,0,28293682,8188614,25,3,7.71,0
67515290,409522,212996,2024-12-04 16:22:35,2024-12-04 17:57:35,2024-12-04 18:19:35,Putaway,3,Completed,302,34.21,22,0.911,0,60988978,7754229,24,7,15.9,0
44745289,490269,206925,2024-11-03 14:04:46,2024-11-03 14:48:46,2024-11-03 19:20:46,Transfer,1,Completed,432,37.13,272,0.33,0,21281944,8336668,47,3,21.47,0
50500483,447979,210770,2024-09-16 01:36:52,2024-09-16 02:11:52,2024-09-16 05:05:52,Sort,1,Partial,364,33.13,174,0.658,0,53816563,7481032,19,7,9.7,0
33060346,404891,214068,2023-05-04 15:14:44,2023-05-04 15:35:44,2023-05-04 17:04:44,Cycle Count,1,Completed,405,130.35,89,0.506,0,66117114,5321608,39,4,14.68,0
99944288,446378,217119,2024-07-12 19:31:50,2024-07-12 21:18:50,2024-07-13 00:08:50,Cycle Count,3,Completed,276,207.03,170,0.321,4,72933183,4336127,13,6,44.35,1
13103595,447801,227013,2025-05-07 11:09:01,2025-05-07 12:48:01,2025-05-07 17:57:01,Sort,2,Cancelled,416,110.17,309,0.32,0,17986012,8876882,43,3,43.34,0
80546001,496002,221982,2024-03-15 06:39:50,2024-03-15 07:24:50,2024-03-15 09:33:50,Transfer,2,Completed,45,40.23,129,0.954,0,44399826,7070589,43,6,17.46,0
16626810,425042,207246,2025-03-09 12:42:55,2025-03-09 13:16:55,2025-03-09 15:51:55,Sort,3,Completed,207,160.98,155,0.653,0,32572594,2057246,39,7,119.01,0
61032101,429174,215159,2024-06-18 03:51:21,2024-06-18 05:03:21,2024-06-18 09:21:21,Cycle Count,5,Completed,141,21.41,258,0.594,0,95793479,1760896,20,1,10.15,1
88989111,490269,216408,2025-05-18 22:14:38,2025-05-18 22:52:38,2025-05-19 04:50:38,Pickup,2,Failed,102,30.14,358,0.625,0,82655800,5378116,45,2,18.32,0
89145111,449141,209294,2025-11-22 10:48:29,2025-11-22 11:05:29,2025-11-22 18:18:29,Transfer,3,Completed,386,122.43,433,0.957,0,10054444,8766382,2,7,40.05,0
96318664,477333,240601,2025-04-27 21:56:49,2025-04-27 23:34:49,2025-04-28 02:30:49,Sort,3,Partial,19,19.43,176,0.305,0,73115641,6763419,2,7,50.49,0
12645081,443800,208059,2024-04-09 18:48:08,2024-04-09 19:16:08,2024-04-09 22:21:08,Replenish,3,Completed,78,103.0,185,0.522,0,60971084,9756051,19,4,0.34,0
20415120,481169,215159,2023-07-16 19:51:20,2023-07-16 20:16:20,2023-07-16 21:11:20,Pickup,2,Failed,32,69.82,55,0.325,0,52440006,4277948,34,3,15.01,0
14913919,432796,208059,2023-04-25 00:11:16,2023-04-25 01:59:16,2023-04-25 08:09:16,Cycle Count,5,Completed,200,70.06,370,0.376,0,22223183,7647552,6,5,13.2,0
89682176,496760,216408,2025-01-15 02:29:00,2025-01-15 03:45:00,2025-01-15 08:54:00,Sort,3,Completed,382,100.34,309,0.481,0,97556715,7900377,16,3,74.01,0
99545024,486697,249797,2025-08-24 08:48:03,2025-08-24 09:34:03,2025-08-24 17:08:03,Dropoff,4,Completed,153,384.88,454,0.866,0,80219124,7471214,29,1,15.2,0
42499222,449202,239090,2025-03-19 11:35:07,2025-03-19 12:57:07,2025-03-19 19:33:07,Dropoff,2,Completed,313,118.59,396,0.912,0,53823139,3118810,12,3,20.96,0
56430981,489596,227013,2023-11-23 01:41:32,2023-11-23 03:24:32,2023-11-23 09:08:32,Transfer,3,Completed,134,65.55,344,0.55,0,72935748,8885338,44,2,32.36,0
92053771,477333,214068,2023-05-27 15:13:51,2023-05-27 15:35:51,2023-05-27 20:58:51,Sort,4,Completed,333,157.66,323,0.836,0,39344166,2551793,14,4,1.97,0
86371616,492908,240291,2025-05-03 22:04:20,2025-05-03 22:36:20,2025-05-04 01:29:20,Sort,4,Completed,256,63.32,173,0.47,0,84013320,8305108,5,2,73.88,0
79121695,477333,244872,2024-09-23 01:33:57,2024-09-23 02:55:57,2024-09-23 06:11:57,Cycle Count,3,Completed,492,75.81,196,0.345,0,79999874,9959325,12,7,21.91,0
52713577,430610,235198,2025-02-24 01:46:27,2025-02-24 02:03:27,2025-02-24 09:59:27,Dropoff,3,In Progress,35,244.07,476,0.812,0,60307803,9855343,27,7,80.98,0
17808165,447979,206536,2023-06-13 11:10:43,2023-06-13 12:05:43,2023-06-13 16:41:43,Consolidate,5,Completed,245,89.56,276,0.775,1,78129974,3481582,40,3,3.44,0
64926973,496002,210830,2025-08-11 04:53:01,2025-08-11 05:47:01,2025-08-11 10:54:01,Pickup,2,Completed,151,34.54,307,0.429,0,75319142,2458653,26,7,0.32,0
50085634,482635,237363,2023-10-26 04:35:32,2023-10-26 05:48:32,2023-10-26 12:45:32,Consolidate,4,Completed,362,10.38,417,0.987,1,31804153,1658644,4,7,11.03,0
85511534,405424,235321,2023-11-22 02:35:03,2023-11-22 04:31:03,2023-11-22 07:46:03,Putaway,2,Completed,188,42.32,195,0.555,0,31943206,9136635,20,1,13.01,1
94743197,449202,235659,2023-08-01 20:32:25,2023-08-01 21:22:25,2023-08-02 03:48:25,Dropoff,2,Completed,254,135.14,386,0.599,1,12672030,1333183,28,3,5.19,0
96561474,469113,216408,2024-01-22 11:57:42,2024-01-22 13:28:42,2024-01-22 15:34:42,Pickup,3,Completed,114,0.15,126,0.312,0,44170105,2963892,29,7,18.78,1
36905175,417035,232907,2024-10-15 16:58:59,2024-10-15 18:31:59,2024-10-15 22:35:59,Dropoff,3,Failed,233,32.68,244,0.715,0,82565275,6212680,25,4,2.18,0
64384384,470458,242832,2026-03-27 12:37:28,2026-03-27 13:45:28,2026-03-27 15:55:28,Cycle Count,4,Completed,432,10.43,130,0.95,1,71444896,9943634,21,6,13.64,0
95873359,425869,247949,2024-08-22 07:34:51,2024-08-22 08:26:51,2024-08-22 13:46:51,Sort,4,Completed,480,86.44,320,0.66,0,38064800,8190579,5,6,12.89,0
59198589,480297,232907,2023-07-20 04:34:58,2023-07-20 05:14:58,2023-07-20 12:46:58,Sort,2,Completed,447,86.12,452,0.92,0,66057408,5078865,44,7,30.71,0
29351218,429290,232907,2023-06-26 22:00:42,2023-06-26 23:58:42,2023-06-27 05:45:42,Pickup,2,Completed,254,165.32,347,0.997,0,27830688,5739489,8,4,12.9,0
13421316,458126,241320,2026-01-20 12:03:36,2026-01-20 12:13:36,2026-01-20 17:19:36,Pickup,3,Completed,181,112.88,306,0.553,1,85031284,1122113,22,4,1.92,0
19461332,459528,205969,2024-09-17 02:21:37,2024-09-17 02:22:37,2024-09-17 05:36:37,Sort,3,Partial,427,18.45,194,0.985,0,25414295,1721383,15,5,100.35,0
31168850,482635,249797,2026-01-31 05:03:49,2026-01-31 05:19:49,2026-01-31 06:20:49,Sort,3,Partial,470,98.08,61,0.585,0,83017240,5160989,2,4,6.85,0
24700391,491598,227751,2024-09-14 07:22:48,2024-09-14 09:13:48,2024-09-14 15:37:48,Pickup,3,Completed,340,22.69,384,0.931,0,24598205,2500054,44,1,12.96,0
36003228,463487,240601,2026-02-13 10:55:05,2026-02-13 12:23:05,2026-02-13 19:13:05,Replenish,4,Completed,349,104.79,410,0.364,0,37513835,7071095,15,2,7.51,0
26053908,405699,206925,2024-03-29 14:44:05,2024-03-29 15:29:05,2024-03-29 20:52:05,Cycle Count,3,Completed,11,29.86,323,0.302,1,50259523,9682231,28,6,37.78,0
92805213,458126,208059,2024-11-27 21:47:33,2024-11-27 22:15:33,2024-11-28 02:44:33,Cycle Count,2,Cancelled,410,1.47,269,0.633,1,55084929,3489284,20,2,29.6,1
80126252,434124,206925,2023-01-17 23:54:39,2023-01-18 01:04:39,2023-01-18 08:31:39,Pickup,2,Completed,469,15.85,447,0.602,0,75549820,7774307,35,7,31.81,0
58035110,425042,235212,2024-08-27 20:13:35,2024-08-27 20:59:35,2024-08-28 03:15:35,Replenish,2,Cancelled,499,17.2,376,0.42,0,52119381,8687331,33,3,1.08,1
24733404,475267,227057,2026-04-27 17:32:11,2026-04-27 18:45:11,2026-04-27 21:40:11,Cycle Count,4,Completed,117,46.98,175,0.921,0,59809822,6818786,3,2,94.83,0
53803005,436371,209263,2026-01-30 00:51:38,2026-01-30 02:25:38,2026-01-30 04:53:38,Dropoff,4,Completed,193,52.0,148,0.776,0,31615469,4031380,45,7,25.86,0
35437351,463487,210830,2023-12-21 21:53:49,2023-12-21 22:07:49,2023-12-22 04:40:49,Pickup,3,Completed,464,24.07,393,0.44,0,68694977,7954960,45,5,6.51,0
92848158,464636,241320,2026-01-16 19:10:12,2026-01-16 19:20:12,2026-01-16 21:09:12,Pickup,2,Completed,33,4.5,109,0.879,0,61953764,5561172,1,4,9.99,0
39129829,447801,242832,2026-03-04 16:56:20,2026-03-04 18:23:20,2026-03-05 00:15:20,Transfer,5,Completed,424,57.86,352,0.329,0,99911787,9218867,7,7,7.27,0
36065998,425042,241320,2023-07-10 21:51:04,2023-07-10 22:13:04,2023-07-11 05:14:04,Putaway,1,Completed,88,27.9,421,0.897,0,63390220,3015973,10,6,2.24,0
61537212,453225,225644,2024-05-01 07:28:53,2024-05-01 08:16:53,2024-05-01 09:36:53,Dropoff,5,Failed,190,9.5,80,0.963,0,37797606,7930697,46,2,8.88,0
79646555,461387,227751,2024-11-09 15:44:22,2024-11-09 16:42:22,2024-11-09 18:10:22,Dropoff,4,Completed,44,15.31,88,0.566,0,10742320,9306097,6,7,7.69,0
99978786,409522,210770,2023-09-27 15:49:00,2023-09-27 15:54:00,2023-09-27 20:02:00,Sort,5,Completed,475,59.15,248,0.524,0,37840558,8229359,46,4,35.0,0
51167267,424940,246274,2025-03-16 12:44:18,2025-03-16 13:04:18,2025-03-16 18:04:18,Pickup,2,Completed,236,84.76,300,0.906,0,89100542,4217494,36,7,2.4,1
