operation_id,robot_id,zone_id,timestamp,operation_type,duration_seconds,items_processed,distance_traveled_m,battery_start_pct,battery_end_pct,avg_speed_mps,payload_weight_kg,success_flag,error_code,shift,operator_id,priority_level,ambient_temp_c,ambient_humidity_pct,collision_count
66780930,442918,209263,2023-01-02 04:27:39,Sort,688,181,21.18,36,0,3.42,21.01,1,NONE,Night,4309,2,29.8,53,0
62399672,412748,235198,2023-05-12 00:34:07,Restock,501,173,113.84,78,38,1.3,4.57,1,NONE,Morning,5802,3,35.5,54,0
14986023,359495,210830,2025-08-17 14:53:54,Inspect,1935,53,16.74,33,13,2.22,44.82,1,LOW_BAT,Night,2424,4,24.3,36,0
71199043,769037,205980,2026-03-05 09:51:34,Place,3566,179,7.57,58,8,2.56,126.7,1,E001,Morning,1754,3,28.4,33,0
15189898,193062,219630,2025-10-14 23:41:35,Place,1434,74,0.9,94,44,2.15,59.56,1,E001,Morning,1668,3,16.1,20,0
83387976,429978,241320,2024-07-17 15:14:51,Place,2629,74,8.46,32,0,3.16,13.1,1,NONE,Afternoon,1243,3,12.3,61,0
13521719,563550,206925,2025-10-01 21:32:59,Pick,3567,100,213.69,32,0,3.27,0.74,1,NONE,Morning,6311,3,7.1,60,1
12408098,137452,205980,2025-12-08 18:54:31,Transport,350,182,27.79,95,37,3.06,44.56,0,NONE,Afternoon,2408,3,21.9,85,0
56584043,689113,217119,2025-12-21 14:58:26,Pick,243,148,34.79,82,35,1.53,40.69,1,NONE,Night,1584,4,17.2,30,0
82184169,621297,211550,2023-07-01 15:24:16,Pick,2381,127,58.53,56,21,0.58,4.21,1,NONE,Afternoon,8118,3,14.9,50,0
78853082,108924,227751,2023-06-28 08:56:19,Sort,3028,155,24.91,52,29,1.46,86.72,1,NONE,Night,7220,4,33.7,62,2
64011580,694538,214068,2024-05-04 13:29:21,Idle,2413,175,88.82,97,76,1.88,7.29,1,E004,Morning,6076,4,15.4,82,0
26066931,561903,205980,2024-09-04 12:36:58,Inspect,3598,144,85.9,77,28,0.24,4.79,1,E004,Afternoon,1525,1,16.6,82,0
95765292,534072,221982,2026-03-11 02:21:32,Place,144,93,10.66,92,75,2.95,22.32,1,E004,Afternoon,9094,3,29.0,83,0
11849018,783908,240291,2024-01-22 13:51:39,Sort,1954,60,3.44,27,0,3.11,1.74,1,NONE,Morning,3534,2,6.1,37,0
41310767,600081,203407,2025-10-08 03:34:19,Place,2551,93,2.54,62,32,2.25,11.45,1,E002,Night,4729,3,17.9,64,0
77868596,187503,205980,2025-12-15 01:28:16,Pick,2453,32,74.39,78,56,2.07,22.34,1,NONE,Afternoon,8218,4,18.1,87,2
65528060,345017,225896,2026-03-19 17:34:28,Place,133,121,46.81,22,0,1.42,10.3,1,NONE,Morning,1037,3,24.0,49,0
81137848,614554,209263,2023-08-19 08:32:57,Transport,469,163,74.28,60,56,3.43,5.85,1,NONE,Night,8215,2,28.0,44,0
78989355,474226,215159,2023-10-22 02:55:36,Place,3587,5,27.64,24,0,1.58,4.61,1,E005,Morning,2812,2,17.6,64,0
94567956,226224,205969,2023-09-25 10:53:06,Idle,1269,174,38.49,92,88,0.8,42.3,1,E001,Night,3559,4,39.5,21,0
56475587,701561,227751,2025-06-12 23:48:59,Place,668,127,80.1,74,70,3.37,58.0,1,E005,Afternoon,9300,1,25.3,31,0
83885217,203076,225896,2025-04-15 01:04:28,Inspect,661,182,49.24,35,20,2.94,33.14,1,NONE,Afternoon,5378,5,11.0,45,0
24031681,442918,240291,2024-05-10 00:21:08,Pick,627,141,58.27,61,30,1.21,20.46,0,NONE,Night,6120,1,7.6,48,0
25666056,405049,207246,2023-04-19 02:26:51,Charge,2104,171,6.73,28,11,2.0,19.82,1,E004,Night,6512,3,22.3,71,0
14481979,397176,241320,2024-09-25 07:26:48,Inspect,1817,150,15.95,84,32,2.09,39.11,0,NONE,Morning,7381,3,27.1,52,0
28406415,749454,225896,2025-06-09 13:24:13,Transport,3392,72,2.57,35,0,3.08,15.22,0,NONE,Morning,6146,4,6.4,45,0
20026059,206986,235212,2024-07-30 18:30:57,Sort,1723,107,6.62,68,45,1.96,0.4,1,NONE,Afternoon,8902,4,27.1,53,1
84181931,259095,208994,2023-11-23 01:01:36,Charge,116,30,19.66,26,0,1.52,1.47,1,NONE,Afternoon,8963,2,12.8,35,1
54541411,600081,206925,2024-12-21 03:07:46,Pick,1911,167,21.99,32,27,2.11,19.15,1,NONE,Afternoon,7670,4,19.6,21,0
49977697,727630,215159,2025-03-14 16:44:15,Charge,1785,134,5.48,98,90,3.41,18.58,1,LOW_BAT,Afternoon,5780,3,31.1,33,1
67564788,561903,217505,2024-12-19 23:40:03,Transport,1186,116,66.6,50,30,0.28,7.72,1,NONE,Afternoon,4692,5,20.2,23,0
42360441,646476,244872,2025-11-27 14:44:05,Pick,2607,129,30.78,29,0,2.3,7.22,1,NONE,Morning,6539,3,7.8,34,0
61346895,617139,206937,2024-01-17 17:52:17,Place,3388,139,94.55,75,45,0.38,14.22,1,E002,Afternoon,7240,3,15.6,24,0
10317655,158460,212996,2025-01-11 06:53:53,Pick,1555,49,20.47,36,0,0.99,4.47,1,TIMEOUT,Afternoon,7016,2,11.4,75,1
74162452,750122,208059,2025-11-05 17:02:55,Place,2614,122,52.48,67,28,2.47,99.14,1,NONE,Night,7844,5,5.1,46,0
88435398,348893,206937,2023-09-16 14:57:43,Restock,1944,124,5.15,84,55,2.51,5.07,1,NONE,Afternoon,4463,4,14.9,31,0
13509517,608049,206925,2023-12-09 09:52:32,Inspect,2617,137,5.43,74,19,2.93,87.58,1,NONE,Morning,9936,3,37.7,55,0
17246570,348893,214068,2023-03-01 18:50:48,Charge,1636,199,25.51,39,0,1.94,102.95,1,NONE,Night,8558,2,13.1,65,0
22270664,389093,239090,2024-03-31 23:21:29,Place,941,67,68.2,38,12,2.83,5.23,1,NONE,Morning,9044,4,15.7,83,1
64726284,592215,217505,2023-02-24 06:00:50,Place,2154,33,103.23,37,0,1.81,28.74,1,NONE,Afternoon,2479,3,37.5,61,0
78502609,349409,221982,2025-06-26 14:12:02,Pick,1417,198,104.72,70,33,0.79,34.95,1,NONE,Afternoon,9193,4,27.4,50,1
84063932,702831,240291,2023-04-18 23:53:09,Place,256,75,3.35,73,38,1.61,17.47,1,LOW_BAT,Afternoon,7393,5,30.9,60,0
80306412,528133,235198,2025-04-21 23:36:24,Idle,2670,56,26.52,61,55,0.69,33.7,1,E001,Night,8043,3,34.7,48,0
61939479,269402,235198,2024-12-06 01:24:21,Transport,1972,78,21.37,51,39,1.96,53.68,1,E005,Morning,2433,4,23.1,62,0
73206444,249592,240601,2026-04-16 06:49:46,Transport,2197,157,96.9,24,0,1.85,30.33,1,E002,Night,8176,2,18.4,39,0
35194351,385424,240291,2024-02-28 10:23:23,Pick,1847,42,70.5,86,72,0.99,145.99,1,E005,Morning,3012,3,13.6,37,0
77088703,495651,246274,2024-02-24 06:28:33,Inspect,3191,4,63.87,72,33,1.75,12.5,1,NONE,Night,7235,3,8.2,58,0
26462653,502333,227751,2023-10-23 14:50:02,Place,662,157,110.36,71,17,2.15,9.08,1,E003,Afternoon,8160,4,36.5,57,0
96709606,750122,237363,2024-10-15 07:42:05,Place,297,102,24.62,28,0,1.58,18.28,1,LOW_BAT,Morning,1152,4,10.6,69,0
13758502,152472,210830,2023-09-24 16:14:33,Place,1929,141,42.3,43,31,0.86,31.23,1,NONE,Afternoon,6743,3,37.6,34,0
94979679,339282,242832,2023-05-18 21:12:41,Place,3133,53,10.92,44,0,3.34,13.02,1,E003,Afternoon,8456,3,20.7,46,3
51450156,178884,249237,2026-02-27 11:24:12,Transport,1672,43,120.87,67,66,2.83,103.69,1,TIMEOUT,Morning,6633,3,25.4,29,0
24382867,353245,207246,2025-04-05 20:39:45,Transport,1515,92,45.24,82,39,0.82,13.84,1,E002,Afternoon,9859,2,15.9,82,0
38740111,353110,238978,2023-05-25 11:32:34,Transport,2139,171,16.68,89,74,1.72,23.89,1,NONE,Afternoon,4245,4,5.2,69,0
87602410,315601,249797,2025-01-21 13:31:29,Pick,1238,147,110.09,61,23,1.39,28.31,1,E003,Morning,7136,2,26.0,25,0
11269890,396874,242742,2024-01-06 15:42:13,Restock,2034,85,10.87,49,21,3.49,18.7,1,NONE,Afternoon,9520,2,38.4,52,0
27249858,335025,217505,2023-08-07 22:48:32,Charge,3474,32,2.64,52,18,2.55,4.69,1,TIMEOUT,Night,3947,4,10.9,23,0
66844730,117571,220452,2024-07-27 07:35:32,Sort,1462,110,90.91,78,56,2.31,12.94,1,E004,Night,3906,4,25.3,54,0
82377931,275174,206536,2025-08-15 18:05:10,Pick,1746,11,15.58,45,14,0.6,2.39,0,NONE,Morning,6997,4,21.3,71,0
48817345,236348,222099,2023-01-01 13:07:08,Inspect,2814,136,24.23,53,0,0.75,0.36,1,NONE,Night,2412,2,33.0,20,1
17878053,591912,235321,2024-03-07 21:58:58,Charge,2424,86,12.28,82,33,3.27,17.9,1,LOW_BAT,Morning,9555,3,32.9,40,0
23232470,427515,222099,2026-01-24 21:05:52,Transport,1293,174,75.08,63,38,1.63,19.86,1,NONE,Afternoon,4027,3,24.8,80,1
90130553,499072,205716,2024-04-24 12:14:20,Pick,1892,193,24.04,57,1,0.15,3.98,0,E002,Afternoon,1430,2,29.7,30,0
29373197,501118,214068,2023-05-01 12:05:35,Pick,1713,45,109.92,78,25,1.79,50.69,1,NONE,Night,2332,2,15.0,21,0
62078467,497050,235659,2024-06-05 03:51:32,Sort,1438,23,60.12,43,6,2.2,1.29,1,NONE,Morning,8227,5,6.0,77,0
94287637,248706,227751,2025-04-09 21:13:19,Place,1540,118,21.14,24,0,1.09,20.97,1,TIMEOUT,Night,9814,2,29.9,33,0
43804361,653177,203407,2026-04-26 12:40:21,Charge,67,9,59.46,83,81,1.55,133.44,0,NONE,Afternoon,4319,3,5.2,32,0
15960028,117571,211550,2025-02-03 16:48:36,Charge,1754,134,55.61,56,25,1.04,10.36,1,NONE,Afternoon,9323,1,37.9,63,0
83171430,526139,240291,2023-03-03 10:38:49,Idle,1137,175,25.27,46,34,1.6,16.09,1,NONE,Afternoon,6100,5,8.1,76,0
68596109,501540,222099,2025-09-10 19:43:10,Place,2882,177,23.59,27,18,3.45,11.26,0,NONE,Morning,7955,2,20.5,51,0
91184438,227135,242832,2025-08-06 14:34:31,Inspect,2272,153,45.94,94,43,1.66,3.42,0,E004,Night,5649,2,31.3,64,1
79820318,405049,210830,2025-03-03 02:05:58,Place,2557,154,6.85,78,62,2.84,15.06,1,E003,Morning,7569,2,24.3,55,0
71951276,490884,240291,2025-12-26 04:36:11,Sort,965,50,277.98,41,5,0.54,23.72,1,E003,Afternoon,8598,4,25.0,62,0
40012346,476162,206925,2025-07-24 13:48:08,Place,161,182,10.5,68,16,2.79,22.79,1,E001,Afternoon,1760,4,19.6,74,0
15520747,213652,227013,2023-10-10 09:13:36,Pick,1390,150,19.69,57,22,1.82,12.32,0,LOW_BAT,Afternoon,2564,5,17.9,28,2
75333702,161127,249797,2024-05-27 05:43:09,Place,1785,15,42.86,46,0,1.35,38.84,1,NONE,Afternoon,4458,2,7.2,59,0
86126762,261510,217119,2024-09-09 00:53:43,Idle,1561,118,20.71,44,0,2.06,19.95,0,NONE,Morning,1415,3,20.0,81,1
72557958,174456,227751,2024-08-17 06:21:07,Transport,457,85,17.4,26,0,1.29,28.51,1,E001,Afternoon,3632,3,12.4,61,1
68796004,730237,209294,2025-02-15 18:30:54,Pick,736,31,2.48,97,42,2.85,84.54,1,NONE,Night,8356,4,20.5,26,0
74648637,476339,240291,2025-05-03 05:18:24,Pick,2628,61,247.33,94,40,2.78,59.31,1,NONE,Afternoon,1776,4,25.4,74,0
34932960,133536,209263,2023-05-07 09:57:00,Charge,3252,187,41.4,89,69,0.88,64.85,0,NONE,Afternoon,7714,2,31.8,25,1
20524385,293125,235321,2024-11-22 04:57:55,Pick,3552,99,77.7,45,0,1.57,60.33,1,NONE,Morning,8572,4,35.6,79,0
66668983,184759,227751,2023-02-17 04:45:47,Pick,1831,30,17.15,99,89,0.57,37.79,0,NONE,Night,9114,4,33.2,76,0
94878016,203076,203407,2024-09-14 00:44:27,Idle,2231,162,11.33,42,36,0.12,6.55,1,NONE,Night,9369,5,5.1,74,0
22288850,614554,235321,2024-05-28 08:50:36,Place,2187,48,71.91,85,54,1.11,26.25,1,E005,Morning,6254,3,30.1,37,0
16408671,590885,232480,2023-09-07 23:00:59,Pick,1373,98,42.83,28,0,2.01,30.34,1,NONE,Morning,7180,3,22.6,29,0
73688279,490884,245938,2026-04-19 20:07:11,Place,1190,25,52.49,44,9,2.68,32.38,1,NONE,Morning,5728,3,9.4,76,0
48038254,427515,214068,2023-11-10 20:37:53,Transport,269,7,104.79,66,19,3.33,11.85,1,NONE,Afternoon,2636,3,26.9,38,0
91269604,427515,209294,2023-03-10 11:44:52,Transport,141,196,88.51,97,74,1.54,32.36,1,TIMEOUT,Morning,9006,3,13.8,58,0
52465585,546062,235198,2024-03-11 22:23:00,Pick,1203,134,10.85,41,0,0.11,6.14,1,NONE,Morning,8779,1,9.2,50,0
56951313,171328,219630,2025-07-10 00:07:31,Place,1331,120,2.08,54,0,2.31,9.32,1,NONE,Night,6624,2,34.7,37,0
15562545,729735,240291,2023-01-12 06:57:19,Place,1895,2,6.36,87,82,0.8,2.85,1,NONE,Morning,7582,3,6.1,85,0
95689534,171277,206937,2024-08-22 07:42:54,Place,3495,121,115.83,57,31,2.06,42.29,1,NONE,Morning,6836,3,29.8,34,0
39782029,365277,215159,2024-05-22 12:20:05,Pick,3172,19,7.27,74,61,1.64,27.76,1,NONE,Afternoon,1757,4,38.1,47,1
49428546,225817,242832,2025-11-18 18:45:17,Place,708,30,19.27,53,14,1.05,4.87,1,NONE,Morning,3065,2,33.3,76,0
66622610,617139,211550,2023-01-04 08:47:42,Transport,1851,145,31.35,20,0,1.12,11.8,1,E004,Morning,7222,4,21.5,36,0
87181031,684861,203407,2023-01-22 01:36:49,Pick,2008,102,60.99,42,26,1.26,2.99,1,NONE,Afternoon,2865,4,33.8,45,0
81558799,573830,205969,2024-11-18 01:24:37,Restock,3544,166,14.41,65,50,0.69,137.21,1,NONE,Morning,1753,2,26.8,89,1
79628356,476162,209263,2023-08-07 02:58:17,Restock,1463,71,124.43,21,0,2.5,16.43,1,NONE,Morning,5316,3,17.3,44,0
19500129,734648,210830,2025-05-06 02:22:32,Place,1335,63,30.2,38,32,1.44,6.34,1,NONE,Afternoon,4113,5,24.7,78,1
17958656,747515,235321,2023-12-05 04:38:46,Charge,2742,165,178.35,96,90,2.54,18.33,0,NONE,Night,5379,4,23.5,73,0
84814312,702831,227057,2024-11-14 13:44:44,Transport,11,113,38.38,21,0,2.08,2.95,1,E005,Night,1368,2,24.8,67,1
92138731,412182,206937,2023-02-15 21:22:06,Pick,355,182,71.07,39,0,0.87,111.74,1,NONE,Morning,6704,4,22.1,37,0
66136409,348893,240291,2025-04-23 07:41:12,Place,2266,109,36.06,69,39,1.19,6.84,1,NONE,Morning,7836,2,20.4,37,0
91938487,550939,225644,2024-09-22 04:31:20,Restock,1204,37,10.26,65,10,3.24,22.21,1,E004,Morning,3175,3,33.3,74,0
38579949,642553,211550,2023-01-01 00:23:03,Pick,796,11,75.3,36,27,1.53,15.15,1,NONE,Afternoon,6205,4,39.8,71,2
41627427,729735,210770,2023-11-20 05:33:51,Transport,2978,43,11.29,24,0,0.48,18.64,1,NONE,Morning,2324,4,35.6,59,0
25305721,770285,208994,2023-03-14 06:45:16,Transport,885,108,206.27,91,56,2.29,6.04,1,NONE,Afternoon,5069,2,39.6,82,0
81409498,186751,227013,2023-02-24 12:43:32,Pick,104,131,0.48,64,20,1.26,26.05,1,NONE,Afternoon,9743,2,17.7,26,0
70246801,177350,242742,2025-04-29 07:55:40,Transport,72,2,192.84,65,62,1.68,32.5,1,NONE,Night,8208,4,30.1,86,0
30217369,282464,212996,2024-06-04 07:34:21,Inspect,3271,53,2.82,24,0,0.8,2.35,1,NONE,Afternoon,1998,4,13.7,59,0
99930275,599366,246274,2025-09-03 07:50:16,Pick,1917,163,54.85,36,14,0.14,31.87,1,NONE,Afternoon,8145,4,10.6,70,0
12735377,408331,209294,2023-11-10 10:54:39,Pick,58,79,40.36,25,0,2.09,36.99,1,NONE,Morning,6920,5,30.7,31,0
79326196,186751,249237,2025-05-22 17:24:09,Pick,898,149,263.77,98,51,1.58,62.18,1,NONE,Night,6381,1,13.5,60,1
28714341,412182,210830,2025-01-17 23:46:47,Idle,1189,74,110.81,81,30,1.48,36.75,1,NONE,Morning,9804,2,5.1,45,0
80558882,282126,249237,2025-03-17 05:20:57,Transport,3579,56,5.25,63,10,3.24,4.63,1,NONE,Morning,1019,5,5.8,88,0
53558905,704010,241320,2025-10-03 20:43:51,Transport,1944,138,32.44,74,31,0.99,2.5,1,NONE,Morning,2468,3,39.5,43,0
31061930,365277,205716,2025-05-10 04:15:20,Idle,3010,52,92.35,33,19,2.09,5.01,1,NONE,Night,9957,4,21.6,75,0
15199075,185225,239090,2025-06-25 15:33:43,Restock,1621,132,117.86,99,83,2.91,8.87,1,NONE,Afternoon,5305,2,11.6,85,0
65914130,195528,215159,2025-06-18 08:11:32,Pick,2599,38,7.43,61,10,1.65,50.95,1,NONE,Morning,9196,3,38.0,39,1
24400556,745200,225644,2024-06-27 13:21:22,Idle,142,150,35.93,61,25,2.66,12.98,1,NONE,Morning,1422,5,12.2,81,0
50478858,590503,240291,2025-05-30 20:13:58,Place,1280,190,17.93,96,43,2.0,42.7,0,NONE,Night,5280,4,39.0,80,0
95539418,747515,221982,2025-06-16 10:02:21,Pick,1661,181,59.52,27,0,1.29,17.16,1,E005,Afternoon,9410,4,26.2,67,0
89888700,120523,242832,2025-01-08 22:50:31,Pick,267,169,95.33,53,17,3.18,25.83,1,NONE,Afternoon,8841,3,12.2,74,0
54445681,206986,225896,2023-04-01 00:11:28,Place,964,1,32.0,27,18,1.38,12.23,1,NONE,Morning,9406,2,18.6,31,0
75849638,730469,207246,2024-06-14 21:32:40,Inspect,2411,167,2.55,54,0,1.66,134.03,1,E003,Morning,4140,5,24.7,71,0
84079046,196966,242832,2023-03-18 22:31:01,Transport,2467,124,40.75,41,27,2.3,88.15,1,E003,Morning,6111,1,6.1,60,0
64587962,400861,235659,2023-05-07 05:47:45,Transport,90,93,31.05,56,42,2.12,34.95,1,E002,Night,2726,4,17.6,64,0
28596047,412182,242742,2024-03-15 02:55:27,Pick,958,161,13.42,76,68,1.84,6.02,1,NONE,Afternoon,1523,3,15.4,67,0
83029548,245144,239090,2024-07-18 09:01:36,Pick,1595,162,44.06,42,38,2.45,2.07,1,NONE,Morning,4112,5,10.4,85,0
17966952,684861,210830,2024-10-03 13:22:57,Inspect,988,186,37.27,24,2,2.46,0.21,1,E003,Afternoon,7610,2,35.6,57,0
57018220,393242,217505,2025-12-30 17:48:10,Sort,199,118,92.93,32,0,1.9,18.03,1,NONE,Morning,8170,1,9.6,49,0
80249324,120523,212996,2025-07-16 08:16:28,Transport,146,140,66.07,77,26,1.82,53.32,1,NONE,Morning,2620,2,21.1,78,0
61355143,671347,209294,2024-05-29 05:42:54,Pick,2019,59,10.78,66,37,0.66,6.32,1,E005,Night,1389,3,16.1,76,0
41395044,554513,210770,2024-02-12 00:06:46,Pick,1327,134,26.88,98,80,2.52,51.41,1,E003,Afternoon,9252,4,32.6,71,0
47467430,196966,245938,2025-05-16 12:09:05,Restock,2018,86,22.84,91,71,3.47,26.48,1,NONE,Morning,9146,3,37.4,83,0
51382398,137452,205716,2023-12-01 13:01:00,Pick,2546,128,59.95,32,0,1.09,2.97,0,E003,Morning,2049,3,12.3,32,1
76963561,617139,214068,2025-12-10 11:26:04,Pick,1914,81,5.44,78,75,0.78,57.94,1,NONE,Night,9053,3,6.5,65,0
99291611,175999,225644,2025-08-08 05:47:14,Charge,2008,35,102.25,27,24,3.29,0.09,0,E005,Afternoon,8764,2,29.3,76,0
80072461,244916,235321,2025-04-09 22:37:53,Inspect,2575,70,19.07,27,24,1.5,12.48,1,NONE,Morning,1964,5,32.9,35,0
38487751,734648,217505,2025-01-26 00:39:13,Pick,665,67,82.86,83,30,2.45,10.05,1,E003,Morning,6541,3,15.5,71,0
20008211,385424,217119,2025-09-25 03:26:05,Idle,829,48,79.76,52,47,1.7,9.15,1,NONE,Night,4497,4,25.9,80,0
52583120,550939,235321,2023-03-29 11:57:21,Place,2617,20,57.6,99,43,2.01,19.15,1,NONE,Morning,4384,2,31.6,84,0
87219541,782278,216408,2023-08-04 09:27:55,Charge,879,79,42.07,20,9,1.24,18.91,1,NONE,Afternoon,8134,5,8.9,83,0
67133019,117571,210830,2024-09-18 11:29:07,Pick,3147,100,43.74,60,28,2.72,35.87,0,NONE,Morning,4527,3,24.7,36,0
38962839,230071,212996,2024-03-13 02:52:31,Sort,1504,119,35.69,44,0,1.81,35.91,1,NONE,Night,9733,2,9.6,68,0
18016190,348893,220452,2025-05-12 21:25:38,Charge,299,123,40.62,98,92,1.74,45.34,1,LOW_BAT,Night,1926,3,36.9,29,0
32700501,408331,225896,2024-05-02 16:59:26,Restock,2532,39,145.35,73,57,2.01,83.72,1,NONE,Afternoon,8343,2,9.9,89,0
74478888,249592,227013,2026-04-26 22:27:00,Transport,1538,29,17.85,81,38,3.29,17.23,1,NONE,Morning,5570,4,7.7,60,0
70299194,646476,246274,2023-12-31 04:54:46,Sort,429,28,17.59,43,0,2.88,2.51,1,NONE,Afternoon,2431,5,31.1,43,0
50655791,319485,241320,2024-03-14 00:18:08,Transport,774,136,45.43,91,37,0.3,17.58,1,E001,Afternoon,1108,3,16.9,21,0
40049778,608049,240601,2023-01-05 01:58:05,Transport,3190,138,31.83,87,86,1.32,12.83,1,NONE,Afternoon,3749,4,39.3,46,0
25751302,547596,219630,2023-10-28 22:48:34,Pick,1660,102,17.55,82,36,0.62,25.0,1,LOW_BAT,Morning,8085,3,35.8,27,0
97521721,631823,240291,2023-10-14 09:06:07,Idle,915,105,109.77,58,39,3.2,27.9,1,NONE,Morning,4263,3,17.3,88,0
48748766,520396,212996,2025-07-16 12:46:29,Place,1957,127,7.09,93,60,0.94,12.75,0,NONE,Morning,5098,2,16.3,45,0
79049094,433829,225644,2024-02-15 14:04:53,Transport,469,70,39.88,73,19,2.71,22.33,1,LOW_BAT,Afternoon,3431,3,29.3,85,0
51460105,237080,219630,2023-09-05 09:57:49,Transport,1415,149,6.82,25,0,2.19,13.2,1,NONE,Morning,3052,3,11.4,41,1
61229237,727630,240601,2024-01-17 08:49:44,Idle,2160,181,162.41,90,79,2.71,4.43,1,NONE,Afternoon,5439,3,30.3,51,0
67666327,340277,210830,2024-11-15 04:18:56,Transport,3445,47,24.82,21,0,2.38,13.09,1,E001,Morning,7927,4,32.0,43,1
42024917,592122,245938,2025-08-13 05:39:05,Transport,999,92,0.5,74,57,1.08,24.01,1,NONE,Night,6127,3,20.5,25,0
94342042,745728,225896,2026-04-05 06:38:30,Transport,2978,63,92.69,39,3,1.79,32.0,1,NONE,Morning,1961,3,37.5,68,0
51157791,345017,207246,2023-02-27 14:22:50,Transport,1477,66,119.3,91,42,0.69,20.79,0,NONE,Morning,6673,1,30.5,23,0
78855902,600081,247949,2025-10-19 15:19:28,Place,3211,77,2.91,78,59,0.89,5.48,1,NONE,Afternoon,6511,4,32.9,49,0
92471720,275174,235659,2024-04-17 23:04:43,Idle,229,43,10.99,84,77,0.52,35.66,1,NONE,Afternoon,2162,2,27.8,31,0
44420503,599125,232907,2025-09-09 19:42:22,Idle,498,69,40.46,75,72,3.08,84.83,1,E005,Morning,6691,4,19.1,30,0
31060976,448730,205980,2023-02-15 14:51:03,Transport,1679,64,42.83,65,62,1.07,68.65,0,NONE,Morning,2012,4,27.5,27,0
97268338,133671,220452,2025-01-31 07:53:34,Pick,2839,162,19.07,89,68,0.55,27.92,1,E005,Morning,7427,3,7.4,32,0
80731071,337172,215159,2026-02-05 16:01:06,Place,1100,54,22.14,43,0,0.92,28.62,1,E003,Afternoon,7672,2,16.8,67,0
81174804,119450,242832,2023-02-17 13:59:10,Sort,439,19,141.31,62,47,0.99,20.32,0,E004,Morning,2162,3,9.2,28,0
95143966,236348,214068,2025-08-18 21:28:19,Inspect,619,173,64.45,43,19,0.53,4.05,1,E002,Morning,9670,2,6.2,24,0
12515662,550316,239090,2023-05-20 00:30:33,Pick,1050,180,1.76,29,0,2.47,13.59,1,LOW_BAT,Night,3179,4,28.9,81,0
95025419,171277,240291,2026-04-09 07:24:14,Inspect,1396,178,32.26,90,51,2.37,9.61,1,E003,Morning,5320,3,37.3,75,0
20492777,187503,240291,2025-06-24 03:43:55,Pick,2072,36,35.43,59,43,2.1,7.22,1,NONE,Morning,4472,3,24.0,46,1
23077222,679477,235321,2026-01-11 18:07:29,Inspect,2774,82,127.64,24,17,3.06,24.45,1,E003,Afternoon,8275,4,39.1,26,0
29621004,520048,222099,2025-12-27 13:59:34,Inspect,471,58,40.87,86,77,0.28,73.98,1,TIMEOUT,Morning,3306,5,35.8,54,0
20197947,598220,247949,2024-01-20 00:40:47,Transport,2751,52,27.46,95,82,2.16,7.0,0,E004,Morning,1961,3,25.3,42,0
